what,kind,bundleId,bundleVersion,description,time
stopped,bundle,ZipEditor,1.0.6,ZipEditor,1238122966366
stopped,bundle,com.wireframesketcher.ui,1.0.3,com.wireframesketcher.ui,1238122966367
stopped,bundle,org.eclipse.ecf.docshare,2.0.0.v20080916-1301,org.eclipse.ecf.docshare,1238122966368
stopped,bundle,org.eclipse.ecf.example.collab,1.3.0.v20080916-1301,org.eclipse.ecf.example.collab,1238122966369
stopped,bundle,org.eclipse.ecf.example.collab.editor,1.0.200.v20080916-1301,org.eclipse.ecf.example.collab.editor,1238122966370
stopped,bundle,org.eclipse.ecf.provider.irc.ui,1.3.0.v20080916-1301,org.eclipse.ecf.provider.irc.ui,1238122966371
stopped,bundle,org.eclipse.ecf.provider.msn.ui,1.3.0.v20080916-1301,org.eclipse.ecf.provider.msn.ui,1238122966372
stopped,bundle,org.eclipse.ecf.provider.xmpp.ui,2.0.0.v20080916-1301,org.eclipse.ecf.provider.xmpp.ui,1238122966373
stopped,bundle,org.eclipse.ecf.presence.ui,1.2.0.v20080916-1301,org.eclipse.ecf.presence.ui,1238122966374
stopped,bundle,org.eclipse.ecf.examples.remoteservices.client,1.0.100.v20080916-1301,org.eclipse.ecf.examples.remoteservices.client,1238122966375
stopped,bundle,org.eclipse.ecf.provider.bittorrent.ui,0.2.0.v20080916-1301,org.eclipse.ecf.provider.bittorrent.ui,1238122966376
stopped,bundle,org.eclipse.ecf.filetransfer.ui,1.4.0.v20080916-1301,org.eclipse.ecf.filetransfer.ui,1238122966376
stopped,bundle,org.eclipse.ecf.provider.ui,1.3.0.v20080916-1301,org.eclipse.ecf.provider.ui,1238122966377
stopped,bundle,org.eclipse.ecf.ui,2.0.0.v20080916-1301,org.eclipse.ecf.ui,1238122966379
stopped,bundle,tortoisePlugin,1.0.9,tortoisePlugin,1238122966380
stopped,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1238122966380
stopped,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1238122966381
stopped,bundle,org.eclipse.emf.edit.ui,2.4.1.v200808251517,org.eclipse.emf.edit.ui,1238122966383
stopped,bundle,org.eclipse.emf.common.ui,2.4.0.v200808251517,org.eclipse.emf.common.ui,1238122966384
stopped,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1238122966384
