what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,org.eclipse.jdt.ui.JavaPerspective,1239038536168
started,bundle,org.eclipse.osgi,3.4.2.R34x_v20080826-1230,org.eclipse.osgi,1239038536170
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.0.v20080604,org.eclipse.equinox.simpleconfigurator,1239038536171
started,bundle,com.ibm.icu,3.8.1.v20080530,com.ibm.icu,1239038536217
started,bundle,org.eclipse.core.contenttype,3.3.0.v20080604-1400,org.eclipse.core.contenttype,1239038536229
started,bundle,org.eclipse.core.databinding,1.1.1.M20080827-0800b,org.eclipse.core.databinding,1239038536245
started,bundle,org.eclipse.core.expressions,3.4.0.v20080603-2000,org.eclipse.core.expressions,1239038536247
started,bundle,org.eclipse.core.filebuffers,3.4.0.v20080603-2000,org.eclipse.core.filebuffers,1239038536248
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1239038536249
started,bundle,org.eclipse.core.jobs,3.4.0.v20080512,org.eclipse.core.jobs,1239038536251
started,bundle,org.eclipse.core.net,1.1.0.I20080604,org.eclipse.core.net,1239038536263
started,bundle,org.eclipse.core.resources,3.4.1.R34x_v20080902,org.eclipse.core.resources,1239038536271
started,bundle,org.eclipse.core.runtime,3.4.0.v20080512,org.eclipse.core.runtime,1239038536272
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20071008,org.eclipse.core.runtime.compatibility,1239038536317
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20070502,org.eclipse.core.runtime.compatibility.auth,1239038536318
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1239038536382
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1239038536436
started,bundle,org.eclipse.equinox.app,1.1.0.v20080421-2006,org.eclipse.equinox.app,1239038536437
started,bundle,org.eclipse.equinox.common,3.4.0.v20080421-2006,org.eclipse.equinox.common,1239038536439
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.2.R34x_v20080910,org.eclipse.equinox.frameworkadmin,1239038536440
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.2.R34x_v20080911,org.eclipse.equinox.frameworkadmin.equinox,1239038536482
started,bundle,org.eclipse.equinox.p2.core,1.0.0.v20080530-1237,org.eclipse.equinox.p2.core,1239038536484
started,bundle,org.eclipse.equinox.p2.director,1.0.2.v20080806-1619,org.eclipse.equinox.p2.director,1239038536535
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.2.v20080806-1619,org.eclipse.equinox.p2.directorywatcher,1239038536537
started,bundle,org.eclipse.equinox.p2.engine,1.0.1.R34x_v20080827,org.eclipse.equinox.p2.engine,1239038536589
